10,000 BC|Mar 7, 2008
Michael Phillips|75
Kirk Honeycutt|70
Kenneth Turan|70
Ken Fox|63
Angie Errigo|60
A.O. Scott|50
Peter Rainer|50
Connie Ogle|50
Luke Y. Thompson|50
Keith Phipps|42
Todd McCarthy|40
Felix Vasques Jr.|40
Liam Lacey|38
Claudia Puig|38
James Berardinelli|38
Carrie Rickey|38
Ryan Stewart|38
Michael Sragow|33
Andrea Gronvall|30
Ann Hornaday|30
Stephanie Zacharek|30
Lou Lumenick|25
Ty Burr|25
Joe Neumaier|25
Peter Hartlaub|25
Peter Travers|25
Lisa Schwarzbaum|25
Dana Stevens|20
Marc Savlov|0
