127 Hours|Nov 5, 2010
Mike Scott|100
Roger Ebert|100
Claudia Puig|100
Lou Lumenick|100
A.O. Scott|100
Rex Reed|100
Joshua Rothkopf|100
Owen Gleiberman|100
Steve Persall|91
Bill Goodykoontz|90
Richard Corliss|90
Joe Morgenstern|90
Betsy Sharkey|90
Stephen Farber|90
Marc Savlov|89
Ann Hornaday|88
Ty Burr|88
Peter Travers|88
Carrie Rickey|88
Shawn Levy|83
Damon Wise|80
Stephanie Zacharek|80
Dan Kois|80
Pete Hammond|80
Andrew O'Hehir|80
Peter Debruge|80
Rene Rodriguez|75
James Berardinelli|75
Noel Murray|70
Ella Taylor|70
Dana Stevens|70
Joe Neumaier|70
David Denby|70
Peter Rainer|67
Scott Tobias|67
Liam Lacey|63
Michael Phillips|63
Mick LaSalle|50
