13 Hours: The Secret Soldiers of Benghazi|Jan 15, 2016
Joe Dziemianowicz|80
James Berardinelli|75
Richard Roeper|75
Kyle Smith|75
Soren Andersen|75
Peter Rainer|67
Steven Rea|63
Ty Burr|63
Michael Phillips|63
Michael O'Sullivan|63
Roger Moore|63
Brian Truitt|63
Joshua Rothkopf|60
John Hazelton|60
David Ehrlich|60
Bill Goodykoontz|60
David Edelstein|60
Todd McCarthy|60
Russ Fischer|58
Ignatiy Vishnevetsky|58
Kevin P. Sullivan|58
Tasha Robinson|55
Steve Persall|50
Kate Taylor|50
Kenneth Turan|50
Joe Morgenstern|50
Mick LaSalle|50
Justin Chang|50
Jake Cole|50
Marc Savlov|50
Inkoo Kang|45
Manohla Dargis|30
Peter Travers|25
Peter Sobczynski|25
Jordan Hoffman|20
Blake Goble|0
