1408|Jun 22, 2007
Desson Thomson|80
Marjorie Baumgarten|78
Owen Gleiberman|75
Michael Phillips|75
Bill White|75
Scott Bowles|75
Kyle Smith|75
Mick LaSalle|75
Steven Rea|75
James Berardinelli|75
Peter Travers|75
Stephen Farber|70
John Anderson|70
Robert Wilonsky|70
Carina Chocano|70
Jeannette Catsoulis|70
Rick Groen|63
Glenn Kenny|63
Wesley Morris|63
Rene Rodriguez|63
Pete Vonder Haar|60
Nick De Semlyen|60
Scott Tobias|50
Maitland McDonagh|50
J.R. Jones|50
Elizabeth Weitzman|50
Stephanie Zacharek|50
