16 Blocks|Mar 3, 2006
Lisa Schwarzbaum|83
Chris Kaltenbach|83
Scott Foundas|80
Manohla Dargis|80
Joe Morgenstern|80
Kevin Crust|80
J.R. Jones|80
Peter Rainer|75
Roger Ebert|75
Maitland McDonagh|75
Lawrence Toppman|75
Carrie Rickey|75
Lou Lumenick|75
Sheri Linden|70
Robert Koehler|70
David Edelstein|70
Stephanie Zacharek|70
Pete Vonder Haar|70
Marc Savlov|67
Sean Axmaker|67
Shawn Levy|67
Jack Mathews|63
Wesley Morris|63
Peter Travers|63
Simon Braund|60
James Berardinelli|50
Michael Atkinson|50
Nathan Rabin|50
Claudia Puig|50
Mick LaSalle|50
Allison Benedikt|50
Rick Groen|50
Stephen Hunter|30
Connie Ogle|25
