2 Days in Paris|Aug 10, 2007
Stephen Holden|90
Carina Chocano|80
Liz Beardsworth|80
Peter Rainer|75
Maitland McDonagh|75
Jack Mathews|75
Tasha Robinson|75
Roger Ebert|75
Marc Mohan|75
Mick LaSalle|75
Michael Sragow|75
Connie Ogle|75
Jim Ridley|70
Andrew O'Hehir|70
Dana Stevens|70
Richard Schickel|70
Desson Thomson|70
Jonathan Rosenbaum|70
Owen Gleiberman|67
Paula Nechak|67
Marjorie Baumgarten|67
Claudia Puig|63
Kyle Smith|63
Jennie Punter|63
Michael Phillips|63
Carrie Rickey|63
Wesley Morris|63
David Edelstein|60
James Berardinelli|50
Anthony Lane|40
