2 Fast 2 Furious|Jun 6, 2003
C.W. Nevius|75
Roger Ebert|75
Michael Dequina|70
Bill Gallo|70
Lou Lumenick|63
Wesley Morris|63
Glenn Kenny|63
David Chute|60
Todd McCarthy|60
Desson Thomson|60
Lisa Schwarzbaum|58
Liam Lacey|50
Scott Tobias|50
Mark Caro|50
Rene Rodriguez|50
Mike Clark|50
Carrie Rickey|50
Kim Morgan|42
J.R. Jones|40
Maitland McDonagh|40
Clint Morris|40
Chris Kaltenbach|38
Jami Bernard|38
Lawrence Toppman|38
Manohla Dargis|30
Michael Agger|30
Alex Pappademas|30
William Arnold|25
David Sterritt|25
Stephen Hunter|20
Dana Stevens|20
Marc Savlov|20
James Berardinelli|12
Joe Morgenstern|10
Charles Taylor|10
