2012|Nov 13, 2009
Mick LaSalle|100
Dan Kois|100
Roger Ebert|88
Todd McCarthy|80
Dana Stevens|80
Lisa Schwarzbaum|75
Michael Phillips|75
Lou Lumenick|75
Mike Scott|75
Stephen Farber|70
Cliff Doerksen|70
Richard Corliss|70
Joe Williams|63
Carrie Rickey|63
Chuck Wilson|50
Rene Rodriguez|50
Ty Burr|50
Kenneth Turan|50
Marc Mohan|50
Stephanie Zacharek|50
Claudia Puig|50
Elizabeth Weitzman|50
Rick Kisonak|50
Bob Mondello|45
Peter Rainer|42
Marc Savlov|40
Manohla Dargis|40
Joshua Rothkopf|40
James Berardinelli|38
Joe Morgenstern|30
Anthony Lane|30
Keith Phipps|25
Peter Travers|25
Rick Groen|25
