2046|Aug 5, 2005
Ty Burr|100
G. Allen Johnson|100
Sean Axmaker|100
Kimberley Jones|100
David Sterritt|100
Manohla Dargis|100
Glenn Kenny|100
Shawn Levy|91
Lisa Schwarzbaum|91
Jean Oppenheimer|90
Michael Atkinson|90
Carina Chocano|90
Andrew O'Hehir|90
Michael Wilmington|88
Lou Lumenick|88
David Ansen|80
Keith Phipps|80
Scott Foundas|80
Maitland McDonagh|80
Rick Groen|75
Rene Rodriguez|75
Steven Rea|75
Jonathan Rosenbaum|70
Richard Corliss|70
Chris Kaltenbach|67
Roger Ebert|63
Jack Mathews|63
Anthony Lane|60
Stanley Kauffmann|60
Jeremy Mathews|60
Joe Morgenstern|60
Stephen Hunter|50
Kirk Honeycutt|50
Derek Elley|50
