21 Grams|Nov 21, 2003
James Berardinelli|100
A.O. Scott|100
David Sterritt|100
Jack Mathews|100
Claudia Puig|100
Steven Rea|100
Rob Fraser|100
Kirk Honeycutt|90
D.W. Smith|90
Manohla Dargis|90
Joe Morgenstern|90
Stephen Hunter|90
Peter Travers|88
Lou Lumenick|88
Michael Wilmington|88
Liam Lacey|88
Owen Gleiberman|83
Sean Axmaker|83
Nathan Rabin|80
Rick Kisonak|80
Kimberley Jones|78
Roger Ebert|75
Carla Meyer|75
Lawrence Toppman|75
J. Hoberman|70
Andrew O'Hehir|70
Ken Fox|70
J.R. Jones|70
Robert Wilonsky|70
Shawn Levy|67
Rene Rodriguez|63
David Rooney|60
David Ansen|60
Glenn Kenny|50
Wesley Morris|50
Michael Sragow|50
Peter Rainer|30
David Denby|30
Scott Foundas|30
David Edelstein|30
Desson Thomson|30
