22 Jump Street|Jun 13, 2014
Ty Burr|88
Lawrence Toppman|83
Jeff Baker|83
Drew McWeeny|83
Oliver Lyttelton|83
Betsy Sharkey|80
Manohla Dargis|80
Bill Goodykoontz|80
Jordan Hoffman|80
Jamie Graham|80
Nick de Semlyen|80
Peter Bradshaw|80
Tim Robey|80
Ben Nicholson|80
Inkoo Kang|80
John DeFore|80
Scott Foundas|80
Bob Mondello|75
Matt Zoller Seitz|75
Ann Hornaday|75
Claudia Puig|75
Peter Travers|75
Mick LaSalle|75
Joe Williams|75
Rene Rodriguez|75
Michael Phillips|75
Steve Persall|75
Ignatiy Vishnevetsky|75
Bill Zwecker|75
Roger Moore|75
David Denby|70
Richard Corliss|70
Joe Morgenstern|70
Scott Tobias|70
Stephanie Zacharek|70
Chris Nashawaty|67
James Berardinelli|63
Steven Rea|63
Mike Scott|60
David Edelstein|60
Andrew O'Hehir|60
Joe Neumaier|60
Tom Huddleston|60
Louis Black|50
Kyle Smith|50
Jaime N. Christley|50
