24 Hour Party People|Aug 9, 2002
David Sterritt|100
Peter Rainer|100
Roger Ebert|100
Jonathan Curiel|100
A.O. Scott|100
Peter Travers|100
Brendan Bernhard|90
Jeff Stark|90
Robert Wilonsky|90
Kevin Thomas|90
Marc Savlov|89
Ray Conlogue|88
Steven Rea|88
Ty Burr|88
Megan Lehmann|88
Michael Sragow|88
Shawn Levy|83
Keith Phipps|80
Ken Fox|80
Tim Merrill|80
Evelyn McDonnell|75
Michael Wilmington|75
Richard Harrington|70
J.R. Jones|70
Derek Elley|70
Dennis Lim|70
Owen Gleiberman|67
Paula Nechak|67
Jack Mathews|63
