25th Hour|Dec 19, 2002
Mick LaSalle|100
Michael Wilmington|100
G. Allen Johnson|100
David Sterritt|100
Jonathan Rosenbaum|90
Robert Wilonsky|90
David Denby|90
Keith Phipps|90
Lou Lumenick|88
Roger Ebert|88
Wesley Morris|88
Owen Gleiberman|83
Ann Hornaday|80
Kimberley Jones|78
Rene Rodriguez|75
Steven Rea|75
James Berardinelli|75
Rick Groen|75
Peter Travers|75
Dana Stevens|70
Joe Morgenstern|70
William Arnold|67
Shawn Levy|67
Michael Sragow|63
Angel Cohn|60
Jeff Stark|60
David Rooney|60
David Edelstein|50
Peter Rainer|50
Jack Mathews|50
Scott Bowles|50
J. Hoberman|50
Desson Thomson|50
Richard Corliss|40
Manohla Dargis|30
Ernest Hardy|30
Lawrence Toppman|25
