28 Weeks Later|May 11, 2007
Ray Bennett|100
Desson Thomson|100
Derek Elley|90
A.O. Scott|90
Joe Morgenstern|90
Michael Phillips|88
Erin Meister|88
Rene Rodriguez|88
Jack Mathews|88
Lisa Schwarzbaum|83
Peter Rainer|83
Scott Tobias|83
Shawn Levy|83
David Edelstein|80
Kim Newman|80
Nathan Lee|80
Carina Chocano|80
J.R. Jones|80
Grady Hendrix|80
Glenn Kenny|75
Claudia Puig|75
Maitland McDonagh|75
Lou Lumenick|75
Carrie Rickey|75
Peter Hartlaub|75
Peter Travers|75
Pete Vonder Haar|70
David Ansen|70
Marc Savlov|67
William Arnold|67
Rick Groen|63
Chris Kaltenbach|58
James Berardinelli|50
Lawrence Toppman|50
