30 Days of Night|Oct 19, 2007
Pete Vonder Haar|80
James Dyer|80
Scott Bowles|75
Tirdad Derakhshani|75
M. E. Russell|75
Peter Hartlaub|75
James Berardinelli|75
Desson Thomson|70
Marc Savlov|67
Scott Tobias|67
Maitland McDonagh|63
Rick Groen|63
Roger Ebert|63
Ty Burr|63
Connie Ogle|63
Eric Alt|63
David Edelstein|60
Andy Spletzer|58
Michael Sragow|58
Robert Wilonsky|50
Dennis Harvey|50
Michael Phillips|50
Andrea Gronvall|50
Megan Lehmann|40
John Anderson|40
Elizabeth Weitzman|38
Matt Zoller Seitz|30
Owen Gleiberman|25
Kyle Smith|25
