30 Minutes or Less|Aug 12, 2011
Lisa Schwarzbaum|83
William Thomas|80
Todd Gilchrist|80
James Berardinelli|75
Lou Lumenick|75
Rene Rodriguez|75
M. E. Russell|67
Stephanie Zacharek|65
Mike Scott|63
Peter Travers|63
Michael Phillips|63
Roger Moore|63
Elizabeth Weitzman|60
Keith Uhlich|60
Meghan Keane|50
Rick Groen|50
Mick LaSalle|50
Claudia Puig|50
Joe Williams|50
Steven Rea|50
Wesley Morris|50
Ben Sachs|50
Nathan Rabin|50
Roger Ebert|50
Bill Goodykoontz|50
Seth Colter Walls|50
Peter Debruge|50
Mark Jenkins|45
Dana Stevens|40
Andrew O'Hehir|40
Marjorie Baumgarten|40
Kirk Honeycutt|40
R. Kurt Osenlund|38
Richard Corliss|30
Manohla Dargis|30
Steve Persall|25
Ann Hornaday|25
