300: Rise of an Empire|Mar 7, 2014
Richard Roeper|88
Marc Savlov|78
Drew McWeeny|75
Chris Nashawaty|75
Stephanie Zacharek|70
Scott Foundas|70
David Hiltbrand|63
Glenn Kenny|63
James Berardinelli|63
Michael Phillips|63
Kyle Smith|63
Roger Moore|63
Richard Corliss|60
Betsy Sharkey|60
Robbie Collin|60
Neil Smith|60
Guy Lodge|60
Bilge Ebiri|50
Scott Bowles|50
Nicolas Rapold|50
Ty Burr|50
Todd McCarthy|50
Peter Bradshaw|40
Bill Goodykoontz|40
Nathan Rabin|40
Adam Nayman|38
Rodrigo Perez|33
Stephen Whitty|25
Ann Hornaday|25
Mick LaSalle|25
Steve Macfarlane|25
Ignatiy Vishnevetsky|25
Joe Neumaier|20
James Rocchi|0
