300|Mar 9, 2007
Steve Persall|100
Gianni Truzzi|83
Roger Moore|80
Pete Vonder Haar|80
Marc Savlov|78
James Berardinelli|75
Lisa Schwarzbaum|75
Peter Travers|75
Lawrence Toppman|75
Chris Kaltenbach|75
Jack Mathews|75
Mick LaSalle|75
Maitland McDonagh|75
Bill Muller|70
Kirk Honeycutt|70
Shawn Levy|67
Michael Phillips|63
Rene Rodriguez|63
Claudia Puig|63
Todd McCarthy|60
Will Lawrence|60
Michael H. Kleinschrodt|50
Steven Rea|50
Peter Rainer|50
Kenneth Turan|50
Glenn Kenny|50
Wesley Morris|50
J.R. Jones|50
Kyle Smith|50
Tasha Robinson|50
Roger Ebert|50
David Fear|40
Peter Bradshaw|40
Dana Stevens|40
Stephanie Zacharek|40
Nick Schager|38
Rick Groen|38
Stephen Hunter|30
A.O. Scott|30
Joe Morgenstern|30
David Denby|30
Nathan Lee|20
