40 Days and 40 Nights|Mar 1, 2002
Joe Morgenstern|80
Kevin Thomas|80
Paul Malcolm|80
Desson Thomson|80
Jonathan Rosenbaum|80
Charles Savage|75
Roger Ebert|75
Todd McCarthy|70
Stephen Hunter|70
Owen Gleiberman|67
Ellen A. Kim|67
Mike Clark|63
Jack Mathews|63
Peter Travers|60
Scott Tobias|60
Tim Merrill|60
Peter Rainer|50
Michael Wilmington|50
Liam Lacey|50
Carrie Rickey|50
Steve Simels|50
Chris Kaltenbach|50
Luke Y. Thompson|50
James Berardinelli|50
Carla Meyer|50
Jay Carr|50
Shawn Levy|50
Dennis Lim|40
A.O. Scott|40
Kimberley Jones|40
David Denby|30
Charles Taylor|30
Lou Lumenick|0
