42|Apr 12, 2013
Joe Neumaier|100
Steve Persall|100
Marc Mohan|83
Gabe Toro|83
Owen Gleiberman|83
Joshua Rothkopf|80
Laremy Legel|75
Ann Hornaday|75
James Berardinelli|75
Mick LaSalle|75
Lou Lumenick|75
Steven Rea|75
Joe Williams|75
Richard Roeper|75
Roger Moore|75
Rex Reed|75
Bill Goodykoontz|70
Louis Black|67
Bob Mondello|65
Claudia Puig|63
Connie Ogle|63
Rick Groen|63
Ty Burr|63
Michael Phillips|63
Peter Travers|63
Mike McCahill|60
Ian Nathan|60
Mary Pols|60
David Denby|60
Mike Scott|60
Bilge Ebiri|60
Kenneth Turan|60
A.O. Scott|60
Scott Tobias|58
Nick Schager|50
Todd McCarthy|50
Scott Foundas|50
Peter Rainer|42
Joe Morgenstern|40
Alan Scherstuhl|40
