45 Years|Dec 23, 2015
Mick LaSalle|100
Kimberley Jones|100
Michael Phillips|100
Ty Burr|100
Steven Rea|100
Ann Hornaday|100
Susan Wloszczyna|100
Dana Stevens|100
Kenneth Turan|100
A.A. Dowd |100
Melissa Anderson|100
Matt Brennan|100
Peter Bradshaw|100
Tim Robey|100
Dave Calhoun|100
Jessica Kiang|100
Sarah Kurchak|91
Peter Rainer|91
Leah Greenblatt|91
Eric Kohn|91
Bill Goodykoontz|90
David Edelstein|90
Stephanie Zacharek|90
A.O. Scott|90
Joe Morgenstern|90
Mark Adams|90
Calvin Wilson|88
Rene Rodriguez|88
Peter Travers|88
Farran Smith Nehme|88
Alonso Duralde|85
Staff (Not credited)|80
Charles Gant|80
Lucy Popescu|80
Lawrence Toppman|75
Stephen Dalton|70
