50 First Dates|Feb 13, 2004
Sara Brady|100
Kevin Carr|80
Simon Braund|80
Owen Gleiberman|75
Roger Ebert|75
Chris Kaltenbach|75
James Berardinelli|75
Michael O'Sullivan|70
Dana Stevens|70
David Edelstein|70
Lawrence Toppman|63
Carrie Rickey|63
Ty Burr|63
Jami Bernard|63
Shawn Levy|58
Mark Caro|50
Luke Y. Thompson|50
Claudia Puig|50
Liam Lacey|50
Connie Ogle|50
Ethan Alter|50
Mick LaSalle|50
Stephanie Zacharek|50
Sheri Linden|50
Ann Hornaday|50
Lou Lumenick|50
Peter Travers|50
Nathan Rabin|50
William Arnold|42
Marrit Ingman|40
Todd McCarthy|40
J.R. Jones|40
John Patterson|30
David Sterritt|25
Kevin Thomas|20
Joe Morgenstern|20
David Ansen|20
Laura Sinagra|20
