(500) Days of Summer|Jul 17, 2009
Scott Knopf|100
Owen Gleiberman|100
Roger Ebert|100
Staff (Not credited)|100
J.R. Jones|100
Michael Ordona|90
James Berardinelli|88
Peter Travers|88
Claudia Puig|88
Rene Rodriguez|88
Mike Scott|88
Joe Williams|88
Shawn Levy|83
Kirk Honeycutt|80
David Edelstein|80
Stephanie Zacharek|80
Joe Neumaier|80
Staff (Not credited)|80
Kimberley Jones|78
Steven Rea|75
Michael Phillips|75
Ty Burr|75
David Wiegand|75
Lou Lumenick|75
Michael Sragow|75
Todd McCarthy|70
Robert Wilonsky|70
A.O. Scott|70
Dana Stevens|70
Desson Thomson|70
Richard Corliss|70
Scott Tobias|67
Peter Rainer|67
Liam Lacey|50
Nathan Lee|40
Joe Morgenstern|40
