8 Mile|Nov 8, 2002
Joe Morgenstern|100
Owen Gleiberman|91
Peter Rainer|90
Nathan Rabin|90
Desson Thomson|90
Richard Schickel|90
Todd McCarthy|90
Kenneth Turan|90
John Powers|90
Mike Clark|88
Rick Groen|88
William Arnold|83
David Ansen|80
Jonathan Rosenbaum|80
Stanley Kauffmann|80
Stephanie Zacharek|80
Robert Wilonsky|80
David Edelstein|80
David Denby|80
Jonathan Foreman|75
Jami Bernard|75
James Berardinelli|75
Roger Ebert|75
Wesley Morris|75
Michael Wilmington|75
Rene Rodriguez|75
Jonathan Curiel|75
Steven Rea|75
J. Hoberman|70
A.O. Scott|70
Ann Hornaday|70
Shawn Levy|67
Michael Sragow|63
Lawrence Toppman|63
Maitland McDonagh|50
Marc Savlov|50
David Sterritt|50
Rick Kisonak|40
