8 Women|Sep 20, 2002
Jonathan Curiel|100
David Sterritt|100
Michael O'Sullivan|90
James Berardinelli|88
Kim Morgan|83
Peter Travers|80
Gregory Weinkauf|80
J.R. Jones|80
Anthony Lane|80
Richard Corliss|80
Loren King|75
Lisa Schwarzbaum|75
Jack Mathews|75
Roger Ebert|75
Steven Rea|75
Wesley Morris|75
Paula Nechak|75
Scott Tobias|70
Joe Morgenstern|70
Ann Hornaday|70
Dana Stevens|70
Lisa Nesselson|70
Marjorie Baumgarten|67
Maitland McDonagh|60
Manohla Dargis|50
Ella Taylor|50
Stephanie Zacharek|40
Michael Sragow|38
Jonathan Foreman|25
J. Hoberman|10
