9 Songs|Jul 22, 2005
Derek Elley|70
Stephen Holden|70
Stephanie Zacharek|70
Allison Benedikt|63
Steven Rea|63
Jami Bernard|63
Kyle Smith|63
Luke Y. Thompson|60
Ken Fox|60
Sean Axmaker|50
Ty Burr|50
Roger Ebert|50
Jonathan Rosenbaum|50
Marrit Ingman|50
Rick Groen|50
Michael Atkinson|50
Lisa Schwarzbaum|50
Richard Corliss|50
David Sterritt|50
Bob Westal|40
Shawn Levy|33
Kenneth Turan|30
David Edelstein|30
Desson Thomson|30
Ann Hornaday|30
Michael Rechtshaffen|30
Scott Tobias|30
Anthony Lane|30
Neva Chonin|25
