9|Sep 9, 2009
Wesley Morris|88
Lisa Schwarzbaum|83
Shawn Levy|83
James Berardinelli|75
Michael Sragow|75
Lou Lumenick|75
Peter Hartlaub|75
Stephen Cole|75
Tasha Robinson|75
Roger Ebert|75
A.O. Scott|70
Anthony Lane|70
Connie Ogle|63
Carrie Rickey|63
Michael Phillips|63
Mike Scott|63
Peter Travers|63
Todd McCarthy|60
Scott Foundas|60
Keith Uhlich|60
Michael Cavna|60
Elizabeth Weitzman|60
Kirk Honeycutt|50
Calvin Wilson|50
Claudia Puig|50
J.R. Jones|50
Andrew O'Hehir|50
Marc Savlov|50
Dana Stevens|50
David Edelstein|40
Nick Antosca|40
