99 Homes|Sep 25, 2015
Steve Persall|100
Ty Burr|100
A.O. Scott|100
Jessica Kiang|91
Calvin Wilson|88
Roger Moore|88
Sheila O'Malley|88
Marc Mohan|83
Mike Scott|80
Bill Goodykoontz|80
Kenneth Turan|80
Joe Neumaier|80
David Edelstein|80
Joe Morgenstern|80
Robbie Collin|80
Alan Scherstuhl|80
Adam Smith|80
John Bleasdale|80
Peter Bradshaw|80
Michael Phillips|75
Richard Roeper|75
Stephanie Merry|75
Catherine Bray|75
Todd McCarthy|70
Guy Lodge|70
Peter Travers|63
Carson Lund|63
A.A. Dowd |58
Alonso Duralde|57
Kyle Smith|50
Marc Savlov|40
