Batman v Superman: Dawn of Justice|Mar 25, 2016
Calvin Wilson|75
Steven Rea|75
Richard Roeper|75
Peter Travers|75
Brian Truitt|75
Kenneth Turan|70
Andrew Barker|70
James Berardinelli|63
Roger Moore|63
Matt Zoller Seitz|63
Andrew O'Hehir|60
Mike Scott|60
Bill Goodykoontz|60
Matt Maytum|60
Andrew Pulver|60
Nick de Semlyen|60
Chris Nashawaty|58
Alonso Duralde|55
Ty Burr|50
Marc Savlov|50
Christopher Gray|50
Lawrence Toppman|50
Steve Persall|50
Bilge Ebiri|50
Lou Lumenick|50
Rene Rodriguez|50
Drew McWeeny|42
A.A. Dowd |42
Michael Roffman|42
Russ Fischer|42
Eric Kohn|42
Anthony Lane|40
Ben Nicholson|40
David Edelstein|40
Stephen Whitty |40
Stephanie Zacharek|40
Matt Singer|40
Robbie Collin|40
Fionnuala Halligan|40
Todd McCarthy|40
Joshua Rothkopf|40
Barry Hertz|38
Soren Andersen|38
Michael Phillips|38
Ann Hornaday|37
Tasha Robinson|36
A.O. Scott|30
Mick LaSalle|25
Joe Morgenstern|20
Brian Roan|16
Jonathan L. Fischer|10
