Green Room|Apr 15, 2016
Barry Hertz|100
Steven Rea|100
Drew McWeeny|100
Jason Gorber|100
A.A. Dowd |91
Chris Nashawaty|91
Oliver Lyttelton|91
Emily Yoshida|90
Jeffrey Bloomer|90
Robert Abele|90
Bilge Ebiri|90
Andrew O'Hehir|90
Matt Singer|90
Josh Kupecki|89
Richard Roeper|88
Ty Burr|88
Steve Persall|83
Sarah Kurchak|83
Bill Goodykoontz|80
Kim Newman|80
Sam Fragoso|80
Edward Douglas|80
Joshua Rothkopf|80
John Bleasdale|80
Benjamin Lee|80
James Berardinelli|75
Lawrence Toppman|75
Roger Moore|75
Soren Andersen|75
Peter Hartlaub|75
Peter Travers|75
Lou Lumenick|75
Carson Lund|75
Tim Grierson|70
Leslie Felperin|70
Simon Abrams|63
Mike Scott|60
A.O. Scott|60
Guy Lodge|60
Giovanni Marchini Camia|58
Michael O'Sullivan|50
Rex Reed|25
