Keanu|Apr 29, 2016
Roth Cornet|100
April Wolfe|80
Kerry Lengel|80
Angelica Jade Bastien|75
Peter Travers|75
Barry Hertz|75
Moira Macdonald|75
Peter Hartlaub|75
Sara Stewart|75
Brian Roan|75
Calvin Wilson|75
Lawrence Toppman|75
David Edelstein|70
Edward Douglas|70
John DeFore|70
Devan Coggan|67
Clint Worthington|67
A.A. Dowd |67
Steve Persall|67
Steve Davis|67
Eric Kohn|67
Alonso Duralde|65
Ty Burr|63
Michael Phillips|63
Brian Truitt|63
Roger Moore|63
Tom Huddleston|60
Molly Eichel|50
Manohla Dargis|50
Eric Henderson|50
Charlie Schmidlin|50
Nigel M Smith|40
Justin Chang|40
