Mother's Day|Apr 29, 2016
Mick LaSalle|75
Randy Cordova|70
Brad Wheeler|50
Ken McIntyre|40
Moira Macdonald|38
Roger Moore|38
Nico Lang|33
Michael Nordine|30
Jon Frosch|30
Marjorie Baumgarten|30
Peter Travers|25
Brian Truitt|25
Samantha Highfill|25
Molly Eichel|25
Sara Stewart|25
Peter Keough|25
Jen Chaney|25
Katie Walsh|25
Stephen Whitty |20
Joe Morgenstern|20
Alonso Duralde|20
Kimber Myers|16
Jesse Hassenger|16
Peter Sobczynski|12
Matt Singer|10
Justin Chang|10
Glenn Kenny|10
David Ehrlich|0
Andrew Barker|0
Richard Roeper|0
