Now You See Me 2|Jun 10, 2016
Randy Cordova|80
Owen Gleiberman|80
Dave White|80
Calvin Wilson|75
Ignatiy Vishnevetsky|75
Leah Greenblatt|75
Brad Wheeler|63
Steven Rea|63
Mark Feeney|63
Michael O'Sullivan|63
Mike Scott|60
James Berardinelli|50
Matt Zoller Seitz|50
Moira Macdonald|50
Clint Worthington|50
David Lewis|50
Jeannette Catsoulis|50
Sara Stewart|50
Michael Phillips|50
Peter Travers|50
Tim Grierson|50
Sheri Linden|50
Chris Hewitt (1)|40
Erin Whitney|40
Roger Moore|38
Richard Roeper|38
Ed Gonzalez|38
Brian Roan|25
Steve Persall|25
Tomris Laffly|20
Josh Kupecki|20
David Ehrlich|16
