The Conjuring 2|Jun 10, 2016
 Martyn Conterio|100
Drew McWeeny|100
Edward Douglas|90
James Berardinelli|88
Justin Chang|80
Neil Genzlinger|80
Sheri Linden|80
Tirdad Derakhshani|75
Brad Wheeler|75
Peter Hartlaub|75
Brian Truitt|75
Michael Phillips|75
Peter Travers|75
Eric Kohn|75
Katie Rife|75
Brian Tallerico|75
Alonso Duralde|75
Tim Grierson|70
Owen Gleiberman|70
Chris Nashawaty|67
Roger Moore|63
Lawrence Toppman|63
Lou Lumenick|63
Michael O'Sullivan|63
Richard Roeper|63
Bill Goodykoontz|60
Tom Huddleston|60
Steve Persall|58
Russ Fischer|58
Daniel Schindel|50
Christopher Gray|50
Bilge Ebiri|50
Tasha Robinson|46
Marc Savlov|40
Matt Glasby|40
Soren Andersen|38
Michael Roffman|33
Erin Whitney|30
