The Nice Guys|May 20, 2016
Tomris Laffly|100
Daniel Schindel|91
Russ Fischer|91
Andrew O'Hehir|90
Owen Gleiberman|90
Barry Hertz|88
Calvin Wilson|88
Drew McWeeny|83
Michael Roffman|83
James White|80
James Mottram|80
Matt Singer|80
Bill Goodykoontz|80
Joe Dziemianowicz|80
Matthew Anderson|80
Peter Bradshaw|80
Robbie Collin|80
Tasha Robinson|77
Lawrence Toppman|75
Brian Tallerico|75
James Berardinelli|75
Lou Lumenick|75
Steven Rea|75
Brian Truitt|75
Mick LaSalle|75
Ignatiy Vishnevetsky|75
Richard Roeper|75
Chris Nashawaty|75
Jake Cole|75
Eric Kohn|75
Alonso Duralde|72
David Edelstein|70
Stephanie Zacharek|70
Joe Morgenstern|70
Alan Scherstuhl|70
Anthony Lane|70
Steve Persall|67
Kimberley Jones|67
Michael Phillips|63
Moira Macdonald|63
Ty Burr|63
Peter Travers|63
Ann Hornaday|63
Rene Rodriguez|63
Roger Moore|63
Justin Chang|60
A.O. Scott|60
Jonathan Romney|60
Peter Rainer|50
Todd McCarthy|50
Rex Reed|0
