Warcraft|Jun 10, 2016
Kate Taylor|75
Brian Truitt|75
Tasha Robinson|62
Kevin Harley|60
Sheri Linden|60
Drew McWeeny|58
James Berardinelli|50
Peter Hartlaub|50
Justin Chang|50
Manohla Dargis|50
Kyle Smith|50
Katie Walsh|50
Brian Roan|50
Russ Fischer|50
Britt Hayes|40
Kerry Lengel|40
Olly Richards|40
Tom Huddleston|40
Helen O'Hara|40
Steve Rose|40
John Hazelton|40
Tirdad Derakhshani|38
Tom Russo|38
Bill Zwecker|38
Rene Rodriguez|38
Blake Goble|33
A.A. Dowd |33
Alan Scherstuhl|30
Ethan Sacks|30
Geoff Berkshire|30
Roger Moore|25
Soren Andersen|25
Peter Travers|25
Chris Nashawaty|25
James Lattimer|25
Christy Lemire|12
Stephanie Merry|12
Alonso Duralde|10
Marc Savlov|0
David Ehrlich|0
