X-Men: Apocalypse|May 27, 2016
David Edelstein|80
Bilge Ebiri|80
Edward Douglas|80
Richard Roeper|75
James Berardinelli|75
Mick LaSalle|75
Tim Grierson|70
Ignatiy Vishnevetsky|67
Drew McWeeny|67
David Ehrlich|67
Peter Travers|63
Michael O'Sullivan|63
Moira Macdonald|63
Lawrence Toppman|63
Steven Rea|63
Sam C. Mac|63
Andrew O'Hehir|60
Kenneth Turan|60
Matt Maytum|60
Peter Bradshaw|60
Peter Rainer|58
Steve Persall|58
Michael Roffman|58
Barry Hertz|50
Sara Stewart|50
Glenn Kenny|50
Calvin Wilson|50
Ty Burr|50
Bill Goodykoontz|50
Josh Kupecki|50
Brian Truitt|50
Roger Moore|50
Matt Singer|50
Michael Phillips|50
Chris Nashawaty|50
Tasha Robinson|46
Brian Roan|42
Russ Fischer|42
Ben Nicholson|40
Tim Robey|40
Geoff Berkshire|40
Helen O'Hara|40
Alonso Duralde|40
Tom Huddleston|40
Todd McCarthy|40
Joe Morgenstern|30
John Anderson|30
Angelica Jade Bastien|25
